,clutch goals,non-clutch goals
Sergi Canós,2,0
Christian Nørgaard,1,1
Bruno Fernandes,3,6
Luke Ayling,2,0
Mason Greenwood,4,1
Fred,2,1
Jamie Vardy,7,3
James Tarkowski,1,0
Neal Maupay,6,2
Alexis Mac Allister,3,1
Marcos Alonso,1,0
Christian Pulisic,1,3
Trevoh Chalobah,2,1
Emmanuel Dennis,7,2
Ismaila Sarr,2,3
Cucho,3,2
John McGinn,1,2
Danny Ings,4,1
Adam Armstrong,2,0
Richarlison,4,0
Abdoulaye Doucouré,1,1
Dominic Calvert-Lewin,1,2
Diogo Jota,8,5
Roberto Firmino,0,5
Mohamed Salah,8,12
Callum Wilson,6,0
Aaron Cresswell,1,0
Jacob Murphy,1,0
Saïd Benrahma,5,1
Tomáš Souček,4,0
Michail Antonio,5,3
Son Heung-min,9,4
Sadio Mané,7,5
Anwar El Ghazi,0,1
Jack Grealish,1,1
Aymeric Laporte,1,2
Raheem Sterling,4,6
Riyad Mahrez,3,7
Mateusz Klich,1,0
Demarai Gray,4,1
Raphael Dias Belloli,9,0
Shane Duffy,1,0
Dele Alli,1,0
Romelu Lukaku,3,2
Reece James,2,3
Pablo Fornals,4,2
Youri Tielemans,5,1
İlkay Gündoğan,4,1
Ferrán Torres,0,2
Gabriel Jesus,1,1
Rodri,1,2
Teemu Pukki,7,1
Marc Albrighton,1,0
Conor Gallagher,5,3
Ivan Toney,8,3
Emi Buendía,2,0
Mohamed Elyounoussi,4,0
Allan Saint-Maximin,5,0
James Ward-Prowse,6,0
Kai Havertz,3,3
Chris Wood,4,0
Patrick Bamford,2,0
Wilfried Zaha,6,3
Odsonne Édouard,4,2
Hwang Hee-chan,5,0
Leandro Trossard,4,0
Pierre-Emerick Aubameyang,2,2
Cristiano Ronaldo,10,2
Javier Manquillo,1,0
Jesse Lingard,1,1
Bernardo Silva,3,4
Mateo Kovačić,1,1
Fabinho,2,2
Ben Mee,3,0
Michael Keane,1,1
Andros Townsend,3,0
Bryan Mbeumo,2,1
Naby Keïta,1,1
Martin Ødegaard,4,1
Matty Cash,2,1
Leon Bailey,0,1
Danny Welbeck,2,1
Thiago Silva,2,1
N'Golo Kanté,0,2
Antonio Rüdiger,1,1
Kortney Hause,1,0
Maxwel Cornet,5,1
Sean Longstaff,1,0
Ethan Pinnock,1,0
Vitaly Janelt,2,0
Curtis Jones,1,0
Yoane Wissa,4,0
Raúl Jiménez,5,1
Emile Smith Rowe,4,5
Bukayo Saka,5,4
Anthony Martial,1,0
Jeff Hendrick,1,0
Timo Werner,1,0
Ben Chilwell,1,2
Diego Llorente,2,0
Pierre Højbjerg,2,0
Ollie Watkins,5,2
Kelechi Iheanacho,2,0
Michael Olise,2,0
Jeffrey Schlupp,2,1
Jarrod Bowen,6,2
Phil Foden,4,3
Kevin De Bruyne,5,4
Çağlar Söyüncü,1,0
Marcus Rashford,2,2
Patson Daka,2,2
Armando Broja,6,0
Romain Saïss,2,0
Conor Coady,2,1
Rúben Neves,3,1
Angelo Ogbonna,1,0
Tanguy Ndombele,1,0
Harry Kane,8,4
Christian Benteke,4,0
Alexandre Lacazette,2,2
Thomas Partey,2,0
Jacob Ramsey,5,1
Mason Mount,5,3
Callum Hudson-Odoi,0,1
Rodrigo,5,0
Tom Davies,1,0
Joshua King,4,1
Juraj Kucka,1,0
